iter	MAE
0	7.549949598
1	7.523055169
2	7.501927355
3	7.431837696
4	7.358264873
5	7.300689403
6	7.181123866
7	7.157587153
8	6.474220298
9	6.445613766
10	6.072011245
11	6.06453713
12	5.507640501
13	5.323292644
14	4.922058195
15	4.916510569
16	4.454481077
17	4.19684227
18	4.187441978
19	3.831949996
20	3.504469477
21	3.238066238
22	2.993902429
23	2.775048356
24	2.564619797
25	2.533496297
26	2.37627982
27	2.236786615
28	2.10649677
29	1.989758926
30	1.889999042
31	1.779201533
32	1.695340768
33	1.625330696
34	1.557434052
35	1.479616053
36	1.405072801
37	1.354321667
38	1.313047104
39	1.275354169
40	1.241441477
41	1.18221334
42	1.157369593
43	1.128068832
44	1.099290931
45	1.079785429
46	1.062389361
47	1.044167269
48	1.031682456
49	1.013599403
50	1.002512279
51	0.9854924663
52	0.9756302526
53	0.9588381405
54	0.9424097449
55	0.934004176
56	0.9267932995
57	0.9008866519
58	0.8816137582
59	0.8692816749
60	0.863312445
61	0.8557501
62	0.8496298066
63	0.8462573348
64	0.8434504639
65	0.8377816453
66	0.8348138441
67	0.8330846191
68	0.8305164082
69	0.8241689711
70	0.8217001821
71	0.8199543886
72	0.8171833088
73	0.813971073
74	0.812020192
75	0.8101159894
76	0.8083367873
77	0.8042891865
78	0.8034158298
79	0.8016491762
80	0.7923525466
81	0.7911840815
82	0.7845067874
83	0.7824427274
84	0.7783295464
85	0.7775254746
86	0.7764034195
87	0.7696360663
88	0.7685822881
89	0.7634706911
90	0.7611760809
91	0.7591717091
92	0.7579592583
93	0.7558785414
94	0.7548116484
95	0.75250806
96	0.7419218493
97	0.7415198706
98	0.7410999883
99	0.737723024
