iter	Passed	Remaining
0	44	4411
1	64	3161
2	82	2663
3	112	2688
4	145	2755
5	172	2696
6	190	2532
7	215	2481
8	239	2417
9	262	2358
10	281	2274
11	301	2211
12	334	2240
13	362	2226
14	390	2211
15	412	2168
16	439	2147
17	457	2084
18	481	2052
19	518	2072
20	555	2089
21	583	2070
22	604	2025
23	627	1986
24	651	1954
25	670	1907
26	702	1899
27	724	1863
28	750	1836
29	768	1793
30	783	1743
31	858	1823
32	893	1814
33	926	1798
34	981	1823
35	1021	1816
36	1042	1774
37	1084	1770
38	1115	1745
39	1147	1721
40	1192	1715
41	1218	1682
42	1249	1656
43	1279	1629
44	1311	1603
45	1336	1569
46	1353	1526
47	1369	1483
48	1385	1442
49	1409	1409
50	1439	1382
51	1460	1348
52	1520	1348
53	1552	1322
54	1565	1280
55	1576	1238
56	1594	1203
57	1631	1181
58	1651	1147
59	1683	1122
60	1711	1093
61	1729	1059
62	1754	1030
63	1776	999
64	1796	967
65	1817	936
66	1848	910
67	1855	873
68	1874	842
69	1894	811
70	1917	783
71	1940	754
72	1963	726
73	1988	698
74	2010	670
75	2027	640
76	2046	611
77	2069	583
78	2082	553
79	2124	531
80	2157	506
81	2188	480
82	2224	455
83	2251	428
84	2291	404
85	2323	378
86	2359	352
87	2396	326
88	2428	300
89	2456	272
90	2493	246
91	2520	219
92	2549	191
93	2583	164
94	2619	137
95	2651	110
96	2682	82
97	2716	55
98	2750	27
99	2794	0
